med_name,med_code,image_url,price,dosage_form,active_ingredient,unit,stock_quantity,is_active
Nanoluxe Dark Spot Remover,MED-00017,https://trungtamthuoc.com/images/products/130x130/nanoluxe-dark-spot-remover-2-g2228.jpg,256962,Kem,"Coenzym Q10 (Ubidecarenone), Nicotinamide (Niacin, Vitamin B3, Vitamin PP), Vitamin C (Acid Ascorbic), Allantoin, Arbutin, Peptide",hộp,88,true
"Qbitriam 0,1%",MED-00018,https://trungtamthuoc.com/images/products/130x130/thuoc-qbitriam-01-u8500.jpg,210641,Mỡ bôi da,Triamcinolone,hộp,110,true
Gel tẩy tế bào chết Innisfree Green Barley Mild Peeling Gel,MED-00019,https://trungtamthuoc.com/images/products/130x130/innisfree-green-barley-mild-peeling-gel-2-g2711.jpg,284663,Gel,"Betaine, Glycerol (Glycerin), Nicotinamide (Niacin, Vitamin B3, Vitamin PP), Vitamin E (Alpha Tocopherol), Allantoin, Acid hyaluronic, Gluconolactone (PHA)",tuýp,83,true
INNISFREE Black Tea Youth Enhancing Ampoule,MED-00020,https://trungtamthuoc.com/images/products/130x130/innisfree-black-tea-youth-enhancing-ampoule-2-l4754.jpg,230740,Tinh chất,"Adenosine, Natri Hyaluronate, Nicotinamide (Niacin, Vitamin B3, Vitamin PP), Vitamin E (Alpha Tocopherol), Ceramide, Allantoin, Acid hyaluronic, Squalane",chai,83,true
Innisfree Jeju Orchid Lotion,MED-00021,https://trungtamthuoc.com/images/products/130x130/innisfree-jeju-orchid-lotion-2-q6588.jpg,116323,Lotion,,hộp,120,true
Innisfree Jeju Cherry Blossom Jelly Cream,MED-00022,https://trungtamthuoc.com/images/products/130x130/innisfree-jeju-cherry-blossom-jelly-cream-2-g2230.jpg,295517,Gel,"Betaine, Glycerol (Glycerin), Nicotinamide (Niacin, Vitamin B3, Vitamin PP), Vitamin E (Alpha Tocopherol)",hộp,104,true
INNISFREE Green Tea Seed Hyaluronic Serum,MED-00023,https://trungtamthuoc.com/images/products/130x130/innisfree-green-tea-seed-hyaluronic-serum-2-p6488.jpg,240699,Serum,"Glycerol (Glycerin), Natri Hyaluronate, Nicotinamide (Niacin, Vitamin B3, Vitamin PP), Acid Pantothenic (Vitamin B5), Vitamin C (Acid Ascorbic), Allantoin, Dipotassium Glycyrrhizinate, Lactobacillus fermentum, Acid hyaluronic, Squalane",hộp,149,true
Exdel Collagen Beauty Extra,MED-00024,https://trungtamthuoc.com/images/products/130x130/exdel-collagen-beauty-extra-1-r6872.jpg,177290,Viên nang cứng,"Acid Folic (Vitamin B9), Biotin (Vitamin H, Vitamin B7, Vitamin B8), Collagen, Vitamin B2 (Riboflavin), Acid Pantothenic (Vitamin B5), Vitamin B6 (Pyridoxine hydrochloride), Vitamin C (Acid Ascorbic), Vitamin E (Alpha Tocopherol), Zinc Gluconate (Kẽm Gluconat), L-Cystine, Đồng, Mangan, Beta-carotene, Astaxanthin, Selen, Acid hyaluronic",hộp,54,true
Enzym Peeling,MED-00025,https://trungtamthuoc.com/images/products/130x130/enzym-peeling-2-k4627.jpg,277672,Kem,"Glycerol (Glycerin), Dimethicone (Polydimethylsiloxanes)",hộp,99,true
Biocyte Collagen Express,MED-00026,https://trungtamthuoc.com/images/products/130x130/biocyte-collagen-express-1-p6745.jpg,217143,Viên nang cứng,"Vitamin C (Acid Ascorbic), Collagen Hydrolyzed",hộp,81,true
Peauhonnête NMN+ Nano Liquid,MED-00027,https://trungtamthuoc.com/images/products/130x130/peauhonnete-nmn-nano-liquid-1-f2860.jpg,135791,Dung dịch uống,"Coenzym Q10 (Ubidecarenone), Nicotinamide (Niacin, Vitamin B3, Vitamin PP), Vitamin B1 (Thiamine), Vitamin B12 (Cyanocobalamin, Mecobalamin), Vitamin B2 (Riboflavin), Vitamin C (Acid Ascorbic), L-Arginine, Nicotinamide mononucleotide (NMN)",hộp,144,true
Pine Needle Capsule,MED-00028,https://trungtamthuoc.com/images/products/130x130/pine-needle-capsule-1-v8482.jpg,177515,Viên nang mềm,Vitamin E (Alpha Tocopherol),hộp,91,true
Maxgel New,MED-00029,https://trungtamthuoc.com/images/products/130x130/maxgel-new-1-b0505.jpg,224812,Kem,"Betamethason, Clotrimazol",hộp,189,true
Eco Nano Curcumin,MED-00030,https://trungtamthuoc.com/images/products/130x130/eco-nano-curcumin-1-q6561.jpg,268074,Dung dịch uống,"Nano Curcumin, Vitamin E (Alpha Tocopherol), Collagen Type II",hộp,74,true
PE Vital Cell Softgels,MED-00031,https://trungtamthuoc.com/images/products/130x130/pe-vital-cell-softgels-1-f2422.jpg,197566,Viên nang mềm,,hộp,12,true
Gluta Gold White,MED-00032,https://trungtamthuoc.com/images/products/130x130/gluta-gold-white-1-h3456.jpg,248199,Viên nang cứng,"Acid Alpha Lipoic (ALA; Acid Thioctic), Collagen, L-Glutathione, Vitamin C (Acid Ascorbic), Selen",hộp,92,true
Kem bôi tuti Kutieskin Mama,MED-00033,https://trungtamthuoc.com/images/products/130x130/kem-boi-tuti-kutieskin-mama-1-n5774.jpg,150661,Kem bôi da,Vitamin E (Alpha Tocopherol),hộp,126,true
Collamax Clévie,MED-00034,https://trungtamthuoc.com/images/products/130x130/collamax-clevie-1-c0785.jpg,269845,Viên nén,"Acid Folic (Vitamin B9), Biotin (Vitamin H, Vitamin B7, Vitamin B8), Collagen, Glucosamine, Kẽm, Nicotinamide (Niacin, Vitamin B3, Vitamin PP), Retinol (Vitamin A), Sắt, Vitamin B12 (Cyanocobalamin, Mecobalamin), Vitamin B2 (Riboflavin), Acid Pantothenic (Vitamin B5), Vitamin B6 (Pyridoxine hydrochloride), Vitamin C (Acid Ascorbic), Lysine, Đồng, L-Prolin, Histidine",hộp,177,true
Youth Skin,MED-00035,https://trungtamthuoc.com/images/products/130x130/youth-skin-1-k4731.jpg,153416,Viên nang,"Astaxanthin, Collagen Hydrolyzed",hộp,11,true
Eva Red Pro 500,MED-00036,https://trungtamthuoc.com/images/products/130x130/eva-red-pro-500-1-l4642.jpg,156002,Viên nang mềm,"Retinol (Vitamin A), Vitamin E (Alpha Tocopherol), Selen",hộp,96,true
Tegreen 97,MED-00037,https://trungtamthuoc.com/images/products/130x130/tegreen-97-1-e1226.jpg,236999,Viên nang cứng,,lọ,153,true
Beta Gluta One,MED-00038,https://trungtamthuoc.com/images/products/130x130/beta-gluta-one-1-e1606.jpg,246701,Viên nang,"Beta Glucan, Coenzym Q10 (Ubidecarenone), Glutathione",hộp,45,true
Ado Biocystine Hair Skin Nails,MED-00039,https://trungtamthuoc.com/images/products/130x130/ado-biocystine-hair-skin-nails-1-f2670.jpg,291522,Viên nang,"Biotin (Vitamin H, Vitamin B7, Vitamin B8), Acid Pantothenic (Vitamin B5), Vitamin B6 (Pyridoxine hydrochloride), Kẽm Oxyd (Zinc Oxide), L-Cystine",hộp,129,true
Gluta MDP,MED-00040,https://trungtamthuoc.com/images/products/130x130/gluta-mdp-1-e1642.jpg,185532,Viên nang,"Acid Alpha Lipoic (ALA; Acid Thioctic), Glutathione, Vitamin C (Acid Ascorbic)",hộp,49,true
Collagen Peptide Daily,MED-00041,https://trungtamthuoc.com/images/products/130x130/collagen-peptide-daily-0-c1786.jpg,149352,Dung dịch uống,"Collagen, L-Glutathione, Natri Hyaluronate, Nicotinamide (Niacin, Vitamin B3, Vitamin PP), Vitamin B1 (Thiamine), Vitamin B2 (Riboflavin), Acid Pantothenic (Vitamin B5), Vitamin C (Acid Ascorbic)",hộp,162,true
"Bi Bi Gen NMN 18,000",MED-00042,https://trungtamthuoc.com/images/products/130x130/bi-bi-gen-nmn-18000-1-h3604.jpg,124449,Viên nang cứng,"Collagen, Nicotinamide mononucleotide (NMN)",hộp,161,true
L-Gluto,MED-00043,https://trungtamthuoc.com/images/products/130x130/l-gluto-1-l4807.jpg,265400,Viên nang cứng,"L-Glutathione, Vitamin C (Acid Ascorbic), Acid hyaluronic",hộp,125,true
Hyaluronic Acid & Natural Vitamin C,MED-00044,https://trungtamthuoc.com/images/products/130x130/hyaluronic-acid-natural-vitamin-c-1-r7111.jpg,173441,Viên nang cứng,Acid hyaluronic,hộp,46,true
MyVita White,MED-00045,https://trungtamthuoc.com/images/products/130x130/my-vita-white-1-p6205.jpg,298317,Bột pha dung dịch uống,"Collagen, Glutathione, Vitamin B1 (Thiamine), Vitamin C (Acid Ascorbic), Vitamin E (Alpha Tocopherol), Lycopene, Acid hyaluronic",hộp,183,true
Kem dưỡng nứt đầu ti Teramom 12g,MED-00046,https://trungtamthuoc.com/images/products/130x130/kem-duong-nut-dau-ti-teramom-1-t8678.jpg,282503,Kem,"Glycerol (Glycerin), Lanolin, Vitamin E (Alpha Tocopherol), L-Arginine, Nước, Bisabolol (Levomenol)",hộp,18,true
Eucerin Anti-Age Hyaluron-Filler + Elasticity Night Cream,MED-00047,https://trungtamthuoc.com/images/products/130x130/eucerin-anti-age-hyaluron-filler-elasticity-night-cream-2-o6548.jpg,128033,Kem,"Acid Pantothenic (Vitamin B5), Acid hyaluronic, Isobutylamido Thiazolyl Resorcinol (Thiamidol)",hộp,102,true
"Holistic Way Premium Deer Placenta Fresh 9,000mg",MED-00048,https://trungtamthuoc.com/images/products/130x130/holistic-way-premium-deer-placenta-fresh-9000mg-1-t8273.jpg,122962,Viên nang mềm,,hộp,72,true
Paula's Choice Clinical 1% Retinol Treatment,MED-00049,https://trungtamthuoc.com/images/products/130x130/paulas-choice-clinical-1-retinol-treatment-2-e1817.jpg,249463,Tinh chất,"Glycerol (Glycerin) , Natri Hyaluronate , Retinol (Vitamin A) , Vitamin C (Acid Ascorbic) , Vitamin E (Alpha Tocopherol) , Ceramide , Allantoin , Dipotassium Glycyrrhizinate",chai,149,true
Tinh chất Paula's Choice Clinical Niacinamide 20% Treatment,MED-00050,https://trungtamthuoc.com/images/products/130x130/paulas-choice-clinical-niacinamide-20-treatment-2-a0417.jpg,242714,Serum,"Nicotinamide (Niacin, Vitamin B3, Vitamin PP) , Acid Pantothenic (Vitamin B5) , Allantoin",hộp,78,true
Super Snow White 450ml,MED-00051,https://trungtamthuoc.com/images/products/130x130/super-snow-white-1-p6281.jpg,270318,Dung dịch,Collagen,chai,10,true
Sữa tắm Purité de Prôvence Cherry Blossom Shower Gel,MED-00052,https://trungtamthuoc.com/images/products/130x130/purite-de-provence-cherry-blossom-shower-gel-2-v8381.jpg,131322,Gel,"Glycerol (Glycerin), Acid Pantothenic (Vitamin B5), Vitamin E (Alpha Tocopherol)",chai,184,true
YHL L-Glutathione,MED-00053,https://trungtamthuoc.com/images/products/130x130/yhl-l-glutathione-1-u8246.jpg,130104,Viên nén,"L-Glutathione, Vitamin C (Acid Ascorbic), Vitamin D3 (Cholecalciferol, Calcitriol), Vitamin E (Alpha Tocopherol), Selen",hộp,121,true
Be White,MED-00054,https://trungtamthuoc.com/images/products/130x130/be-white-1-d1470.jpg,204694,Viên nén,"Biotin (Vitamin H, Vitamin B7, Vitamin B8), Collagen, Vitamin C (Acid Ascorbic), Vitamin E (Alpha Tocopherol), L-Cystine, Selen",hộp,120,true
Dầu mù u Minh Hải,MED-00055,https://trungtamthuoc.com/images/products/130x130/dau-mu-u-minh-hai-1-b0586.jpg,126082,Dầu bôi ngoài da,,hộp,168,true
Coix Seed Beauty Tablets With Vitamin C,MED-00056,https://trungtamthuoc.com/images/products/130x130/coix-seed-beauty-tablets-with-vitamin-c-1-b0744.jpg,260746,Viên nén,"Vitamin B1 (Thiamine), Vitamin B2 (Riboflavin), Vitamin B6 (Pyridoxine hydrochloride), Vitamin C (Acid Ascorbic), Calci (Canxi)",hộp,191,true
Gluta-Glow Rose Wecare,MED-00057,https://trungtamthuoc.com/images/products/130x130/gluta-glow-1-q6305.jpg,122076,Viên nang cứng,"Acid Alpha Lipoic (ALA; Acid Thioctic), L-Glutathione, Vitamin C (Acid Ascorbic)",hộp,191,true
Banana Boat Aloe Vera Gel,MED-00058,https://trungtamthuoc.com/images/products/130x130/banana-boat-aloe-vera-gel-2-l4454.jpg,190709,Gel,"Glycerol (Glycerin), Limonene (d-limonene), Phenoxyethanol",tuýp,17,true
Eva Skin Gold,MED-00059,https://trungtamthuoc.com/images/products/130x130/eva-skin-gold-1-v8227.jpg,216754,Dung dịch,"Biotin (Vitamin H, Vitamin B7, Vitamin B8), Collagen, Glutathione, Vitamin C (Acid Ascorbic), Vitamin E (Alpha Tocopherol), L-Cystine, Acid hyaluronic",hộp,82,true
Bio L-Cystine,MED-00060,https://trungtamthuoc.com/images/products/130x130/bio-l-cystine-1-g2366.jpg,253562,Viên nang cứng,"Biotin (Vitamin H, Vitamin B7, Vitamin B8), Collagen, Vitamin B6 (Pyridoxine hydrochloride), Zinc Gluconate (Kẽm Gluconat), L-Cystine",hộp,28,true
Wellforce Skin,MED-00061,https://trungtamthuoc.com/images/products/130x130/wellforce-skin-1-s7515.jpg,265833,Viên nén,,hộp,164,true
Serum Balance Active Formula Collagen + Peptides Double Booster,MED-00062,https://trungtamthuoc.com/images/products/130x130/balance-active-formula-collagen-peptides-double-booster-2-b0605.jpg,190903,Serum,"Collagen, Glycerol (Glycerin), Vitamin E (Alpha Tocopherol)",hộp,57,true
Torriden BALANCEFUL Toner Pad,MED-00063,https://trungtamthuoc.com/images/products/130x130/torriden-balanceful-toner-pad-2-f2722.jpg,281817,Toner Pad,"Glycerol (Glycerin), Natri Hyaluronate, Acid Pantothenic (Vitamin B5), Allantoin, Dipotassium Glycyrrhizinate, Asiaticoside (Acid Asiatic), Lactobacillus fermentum, Gluconolactone (PHA)",hộp,153,true
Perubar Soap,MED-00064,https://trungtamthuoc.com/images/products/130x130/perubar-soap-2-j3411.jpg,226542,Xà phòng,"Glycerol (Glycerin), Citric Acid",hộp,51,true
Dorzox 25,MED-00065,https://trungtamthuoc.com/images/products/130x130/thuoc-dorzox-25-0-j4363.jpg,202696,Viên nang cứng,Acitretin,hộp,88,true
Relish White C Effervescent Tablet,MED-00066,https://trungtamthuoc.com/images/products/130x130/relish-white-c-effervescent-tablet-5-c0341.jpg,259275,Viên sủi,"L-Glutathione, Vitamin C (Acid Ascorbic)",hộp,181,true
ma:nyo Bifida Biome Ampoule Toner,MED-00067,https://trungtamthuoc.com/images/products/130x130/manyo-bifida-biome-ampoule-toner-2-v8336.jpg,229432,Toner,"Betaine, Glycerol (Glycerin), Natri Hyaluronate, Acid Pantothenic (Vitamin B5), Xylitol, Ceramide, Allantoin, Lactobacillus fermentum, Acid hyaluronic, Lactobionic Acid",hộp,100,true
Sữa dưỡng thể hằng ngày Aveeno Baby Daily Moisture Lotion,MED-00068,https://trungtamthuoc.com/images/products/130x130/aveeno-baby-daily-moisture-lotion-2-r7700.jpg,127871,,"Glycerol (Glycerin), Cetyl Alcohol, Allantoin, Dimethicone (Polydimethylsiloxanes)",tuýp,82,true
TaeHui Pink-C,MED-00069,https://trungtamthuoc.com/images/products/130x130/taehui-pink-c-4-g2326.jpg,226489,Bột uống,"Collagen, Glucosamine, Vitamin C (Acid Ascorbic), Acid hyaluronic",hộp,131,true
Coco Collagen,MED-00070,https://trungtamthuoc.com/images/products/130x130/coco-collagen-2-o5067.jpg,192087,bột pha uống,"Collagen, Acid hyaluronic",hộp,27,true
Kihasu Collagen Peptide,MED-00071,https://trungtamthuoc.com/images/products/130x130/kihasu-collagen-peptide-1-a0263.jpg,293244,Bột hòa tan,Collagen,hộp,62,true
Kem dưỡng ẩm Bepanthen Sensidaily,MED-00072,https://trungtamthuoc.com/images/products/130x130/bepanthen-sensidaily-2-a0284.jpg,284343,Kem,"Glycerol (Glycerin), Nicotinamide (Niacin, Vitamin B3, Vitamin PP), Acid Pantothenic (Vitamin B5), Vitamin E (Alpha Tocopherol), Ceramide, Squalane",hộp,97,true
Zalic Soap Bar,MED-00073,https://trungtamthuoc.com/images/products/130x130/zalic-soap-bar-4-h3348.jpg,116304,Bánh xà phòng,"Acid Glycolic (AHA), Acid Salicylic (BHA)",hộp,19,true
Placenta Drink 150000,MED-00074,https://trungtamthuoc.com/images/products/130x130/placenta-drink-150000-1-r7846.jpg,172020,Dung dịch uống,"Collagen, Vitamin B12 (Cyanocobalamin, Mecobalamin), Vitamin B2 (Riboflavin), Vitamin B6 (Pyridoxine hydrochloride), Elastin, Acid hyaluronic",hộp,82,true
"Swanson Hair, Skin & Nails",MED-00075,https://trungtamthuoc.com/images/products/130x130/wanson-hair-skin-nails-c0167.jpg,244966,Viên nang cứng,"Choline, Inositol (Vitamin B8), L-Cystine, Methyl Sulfonyl Methane, Calci (Canxi), Vitamin B10 (PABA; Axit para-aminobenzoic)",lọ,94,true
Sữa dưỡng thể Cetaphil Pro Ad Derma Skin Restoring Moisturizer,MED-00076,https://trungtamthuoc.com/images/products/130x130/sua-duong-the-cetaphil-pro-ad-derma-2-c1622.jpg,264736,Sữa tắm,"Glycerol (Glycerin), Natri Hyaluronate, Nicotinamide (Niacin, Vitamin B3, Vitamin PP), Acid Pantothenic (Vitamin B5), Vitamin E (Alpha Tocopherol), Allantoin",chai,166,true
Kem dưỡng ban đêm Vichy Laboratoires Liftactiv Collagen Specialist 16 Cream Night,MED-00077,https://trungtamthuoc.com/images/products/130x130/vichy-laboratoires-liftactiv-collagen-specialist-16-cream-night-2-i3451.jpg,127978,Kem,"Adenosine, Glycerol (Glycerin), Natri Hyaluronate, Natri Lactat (Sodium Lactate), Resveratrol",hộp,122,true
Kem dưỡng ban ngày Vichy Liftactiv Collagen Specialist 16 Day Cream,MED-00078,https://trungtamthuoc.com/images/products/130x130/vichy-liftactiv-collagen-specialist-16-day-cream-2-q6872.jpg,106236,Kem,"Adenosine, Glycerol (Glycerin), Nicotinamide (Niacin, Vitamin B3, Vitamin PP)",hộp,47,true
Collagen Marin,MED-00079,https://trungtamthuoc.com/images/products/130x130/collagen-marin-1-u8408.jpg,246582,Viên nén,"Acid Alpha Lipoic (ALA; Acid Thioctic), Biotin (Vitamin H, Vitamin B7, Vitamin B8), Collagen, L-Glutathione, Vitamin C (Acid Ascorbic), Vitamin E (Alpha Tocopherol)",hộp,25,true
Tworld Chlorophyll Collagen Pluss,MED-00080,https://trungtamthuoc.com/images/products/130x130/tworld-chlorophyll-collagen-pluss-1-r7056.jpg,131832,Bột pha uống,"Biotin (Vitamin H, Vitamin B7, Vitamin B8), Collagen, Natri Hyaluronate, Vitamin C (Acid Ascorbic), Zinc Gluconate (Kẽm Gluconat)",hộp,69,true
Viên đẹp da SORA,MED-00081,https://trungtamthuoc.com/images/products/130x130/vien-dep-da-sora-1-g2353.jpg,108120,Viên nang cứng,"L-Glutathione, Vitamin C (Acid Ascorbic), Vitamin E (Alpha Tocopherol), Kẽm Oxyd (Zinc Oxide), Zinc Gluconate (Kẽm Gluconat), L-Cystine, Fucoidan",hộp,60,true
Gel làm sạch Uriage Xemose Huile Lavante Apaisante Cleansing Soothing Oil,MED-00082,https://trungtamthuoc.com/images/products/130x130/xemose-huile-lavante-apaisante-cleansing-soothing-oil-2-i3317.jpg,175357,Gel,"Glycerol (Glycerin), Vitamin E (Alpha Tocopherol), Coco-Glucoside",tuýp,65,true
Gel Lô Hội La Beauty,MED-00083,https://trungtamthuoc.com/images/products/130x130/gel-lo-hoi-la-beauty-2-h2106.jpg,279700,Gel,"Glycerol (Glycerin), Vitamin E (Alpha Tocopherol), Citric Acid",hộp,75,true
Cicasilver Ointment,MED-00084,https://trungtamthuoc.com/images/products/130x130/cicasilver-ointment-2-q6753.jpg,231907,Kem,"Glycerol (Glycerin), Vitamin E (Alpha Tocopherol), Nano Bạc , Acid hyaluronic",hộp,51,true
Auwhite Serum,MED-00085,https://trungtamthuoc.com/images/products/130x130/auvi-nature-auwhite-serum-2-h2782.jpg,159505,Serum,"Glycerol (Glycerin), Natri Hyaluronate, Vitamin C (Acid Ascorbic), Allantoin, Arbutin, Carnosine",hộp,84,true
Serum tế bào gốc Rebirth Cellular B Plavenom Placenta & Bee Venom Serum,MED-00086,https://trungtamthuoc.com/images/products/130x130/rebirth-cellular-b-plavenom-placenta-bee-venom-serum-2-m5244.jpg,273598,Serum,"Glycerol (Glycerin), Natri Hyaluronate",hộp,73,true
Maxlove Red,MED-00087,https://trungtamthuoc.com/images/products/130x130/maxlove-red-1-s7256.jpg,124121,Viên nang,Vitamin E (Alpha Tocopherol),hộp,32,true
Vitahealth GlutaWhite Plus,MED-00088,https://trungtamthuoc.com/images/products/130x130/vitahealth-glutawhite-plus-1-d1571.jpg,182789,,"Acid Alpha Lipoic (ALA; Acid Thioctic), L-Glutathione, Vitamin C (Acid Ascorbic), Cysteine, Zinc Gluconate (Kẽm Gluconat), Astaxanthin",hộp,106,true
Collagen Beauty Formula,MED-00089,https://trungtamthuoc.com/images/products/130x130/collagen-beauty-formula-1-l4715.jpg,243935,Viên,"Biotin (Vitamin H, Vitamin B7, Vitamin B8), Collagen, Kẽm, Nicotinamide (Niacin, Vitamin B3, Vitamin PP), Vitamin B2 (Riboflavin), Vitamin C (Acid Ascorbic), Đồng",hộp,200,true
Sữa Dưỡng Ẩm Sebamed Extreme Dry Skin Repair Lotion 10% Urea,MED-00090,https://trungtamthuoc.com/images/products/130x130/sebamed-extreme-dry-skin-repair-lotion-10-urea-2-a0435.jpg,223548,Lotion,"Glycerol (Glycerin), Urea, Acid Lactic",hộp,51,true
SEBAMED Anti-Redness Regenerating Intensive Care,MED-00091,https://trungtamthuoc.com/images/products/130x130/sebamed-anti-redness-regenerating-intensive-care-2-g2606.jpg,149839,Kem,"Glycerol (Glycerin), Vitamin E (Alpha Tocopherol), Allantoin, Cetearyl Alcohol",hộp,87,true
Kem Dưỡng Ban Ngày SEBAMED Anti-Redness Light Day Care SPF 20,MED-00092,https://trungtamthuoc.com/images/products/130x130/sebamed-anti-redness-light-day-care-spf-20-2-n5087.jpg,255784,Kem,"Glycerol (Glycerin), Vitamin E (Alpha Tocopherol), Allantoin, Bemotrizinol (Tinosorb S, bis-ethylhexyloxyphenol methoxyphenyl triazine)",hộp,132,true
Cicasilver Spray,MED-00093,https://trungtamthuoc.com/images/products/130x130/cicasilver-spray-2-h3505.jpg,295114,Hỗn dịch,"Glycerol (Glycerin), Vitamin E (Alpha Tocopherol), Nano Bạc , Acid hyaluronic",chai,142,true
Viên Uống Sáng Da KML White Plus,MED-00094,https://trungtamthuoc.com/images/products/130x130/vien-uong-sang-da-kml-white-plus-1-j3651.jpg,251483,Viên nang,"Biotin (Vitamin H, Vitamin B7, Vitamin B8), Collagen, L-Glutathione, Vitamin E (Alpha Tocopherol), Zinc Gluconate (Kẽm Gluconat), L-Cystine, Acid hyaluronic, Nicotinamide mononucleotide (NMN)",hộp,39,true
Creobic Da (Double Action),MED-00095,https://trungtamthuoc.com/images/products/130x130/creobic-da-double-action-1-l4404.jpg,179382,Kem bôi da,"Betamethason, Clotrimazol",hộp,98,true
Vitamin C With Bioperine,MED-00096,https://trungtamthuoc.com/images/products/130x130/vitamin-c-with-bioperine-1-l4011.jpg,273028,Viên uống,"Vitamin B2 (Riboflavin), Vitamin C (Acid Ascorbic), Piperin",hộp,115,true
Rebac Silicon Gel,MED-00097,https://trungtamthuoc.com/images/products/130x130/rebac-silicon-gel-2-q6735.jpg,257725,Gel,"Natri Hyaluronate, Vitamin E (Alpha Tocopherol), Dimethicone (Polydimethylsiloxanes)",hộp,40,true
Lamore,MED-00098,https://trungtamthuoc.com/images/products/130x130/lamore-1-l4330.jpg,178551,Viên nang mềm,"Acid Alpha Lipoic (ALA; Acid Thioctic), Biotin (Vitamin H, Vitamin B7, Vitamin B8), Coenzym Q10 (Ubidecarenone), Collagen, Glutathione, Isoflavone, Vitamin C (Acid Ascorbic), Vitamin E (Alpha Tocopherol)",hộp,166,true
